supplier_id,supplier_name,contact_name,email,phone,address,city,state,country,lead_time_days
1,Jones PLC,Daniel Kane,kim90@garrison-thomas.com,+1-742-210-2053,0268 Julie Mountains,Stricklandhaven,OR,Botswana,12
2,Gordon-Dougherty,Richard Camacho,stephen00@boone-simmons.com,771.815.9212x4998,8961 Melissa Run Apt. 673,Morganmouth,MO,Israel,12
3,"Davis, Simmons and Ortega",Christian Leblanc,davischristopher@davis-rodgers.com,+1-809-288-5165,451 Eric Orchard Apt. 158,Dannyview,OK,Czech Republic,14
4,Bruce-Villegas,Lisa Day,lynchdiane@adams.com,850-922-9612x01836,54599 Nicole Drives Apt. 901,Scottchester,NM,New Caledonia,5
5,Perry-Lewis,Haley Rodriguez,trose@walker.com,2349324451,26838 Jones Wall Apt. 607,Port Lawrencechester,OK,Iraq,8
6,"Bowman, Roberts and Sullivan",Carolyn Meza,xcollier@kim.com,(596)781-6453x52181,231 Jonathan Extensions Apt. 127,Webstershire,NV,Pitcairn Islands,17
7,"Day, Downs and Morris",Emily Gonzales,tramos@vargas-bell.com,977-200-5411x9986,359 Mason Circle Suite 151,North John,NV,Kazakhstan,14
8,"Mills, Moore and Watson",Jason Morgan,mccormickdeborah@rivera.biz,349-625-1925x4629,528 Debbie Manors Suite 054,East Matthew,WI,Libyan Arab Jamahiriya,19
9,Perez and Sons,Edward French,stanleynancy@anderson.org,(970)565-3794,7359 Murray Haven,Shawchester,GA,Svalbard & Jan Mayen Islands,22
10,Solis and Sons,Amy Castillo,angela18@mitchell.com,782.561.3750x606,53051 Moody Dam Apt. 472,Westtown,MH,Belgium,26
11,Scott and Sons,Monica Rose,parsonsjohn@williams.org,811.279.8089x324,96218 Jones Pine Apt. 670,Zavalaview,WA,Andorra,6
12,Kramer-Cooper,Lori Ingram,dennis58@li-thompson.info,001-772-621-7043x030,740 Justin Wall Apt. 541,Samuelfurt,WA,Kazakhstan,6
13,Morgan-Lopez,Holly Salinas,laurie61@morrison-short.net,951-215-4479x6275,640 Emily Lodge Suite 820,Port Cathy,WY,Kazakhstan,6
14,Martinez and Sons,Holly Reyes,jacobserika@watson-hines.org,(485)965-4310,144 Lewis Ridge Suite 731,Port Charles,HI,United Arab Emirates,3
15,"Wallace, Miller and Fleming",Emma Reed,piercekelly@york-joseph.com,(783)913-2370x589,114 Key Stravenue,Foxchester,GU,Morocco,20
16,Martinez LLC,Joanna Frazier,david89@saunders.biz,601.582.4225x35841,49818 Brittany Prairie Apt. 299,Meganshire,AZ,Sweden,28
17,Miller Ltd,Deborah Clark,bmontgomery@small-gardner.com,736.447.1027x6773,556 Kathleen Passage Apt. 537,West Shannonberg,CT,Australia,13
18,Dougherty-Lin,Victor Barrera,sarah53@jimenez.info,247.601.6873x3950,748 Melanie Meadows Apt. 456,Brandonton,OK,Monaco,20
19,Cox LLC,Jonathan Duran,marcia99@anderson.biz,(258)452-3986x800,8729 Mark Ridge Suite 269,Brittneyhaven,MP,Malawi,22
20,"Burns, Hart and Wells",Gary Rodriguez,ysilva@wiggins.com,+1-299-330-9728x9623,75626 Robert Trail,Salaston,VT,Burundi,8
