performance_id,date_id,employee_id,store_id,department_id,sales_amount,transactions_processed,items_scanned,avg_scan_time,customers_served,hours_worked,overtime_hours,absences,tardiness,customer_satisfaction_score
1,321,362,32,5,79.54,5,45,4.14,5,8.0,1.1,0,0,
2,279,362,32,5,606.94,1,2,4.15,1,8.0,1.0,0,0,
3,336,362,32,5,693.71,8,0,0.0,8,8.0,0.0,0,0,
4,352,362,32,5,378.59,19,42,3.99,19,8.0,0.0,0,1,
5,327,362,32,5,721.58,9,50,2.13,9,8.0,0.0,0,0,
6,344,362,32,5,283.09999999999997,1,9,4.45,1,8.0,0.0,0,0,
7,338,362,32,5,594.72,1,3,4.9,1,8.0,0.0,0,0,
8,296,362,32,5,573.73,3,48,4.33,3,8.0,0.0,0,0,
9,325,362,32,5,861.08,18,12,1.8,18,8.0,0.0,1,0,
10,339,362,32,5,245.32,1,2,4.33,1,8.0,0.0,0,0,
11,281,362,32,5,689.1,8,11,4.42,8,8.0,0.0,0,0,
12,342,362,32,5,124.58,18,1,3.54,18,8.0,0.0,0,1,
13,316,362,32,5,445.77,0,34,2.82,0,8.0,0.7,0,0,
14,293,362,32,5,449.39,4,36,2.79,4,8.0,0.0,0,0,
15,351,362,32,5,436.97,7,43,3.35,7,8.0,0.0,0,1,
16,309,362,32,5,334.3,0,38,2.63,0,8.0,0.3,0,0,
17,278,362,32,5,4677.87,2,11,2.01,2,8.0,0.0,1,0,
18,307,362,32,5,315.82,6,13,1.73,6,8.0,0.0,1,0,
19,317,362,32,5,1362.48,1,7,3.16,1,8.0,0.8,0,0,
20,353,362,32,5,779.89,14,19,2.13,14,8.0,0.0,0,0,
21,299,362,32,5,344.27,10,43,2.2,10,8.0,0.0,0,0,
22,348,362,32,5,940.89,1,3,3.81,1,8.0,0.0,0,0,
23,347,362,32,5,284.09,4,48,2.24,4,8.0,0.0,0,0,
24,276,362,32,5,587.6,14,36,3.65,14,8.0,0.1,0,0,
25,357,362,32,5,664.69,5,21,4.98,5,8.0,1.6,0,0,
26,362,362,32,5,2581.47,1,9,3.75,1,8.0,0.0,0,1,
27,310,362,32,5,387.22,7,41,3.18,7,8.0,0.0,0,0,
