inventory_id,date_id,store_id,product_id,beginning_quantity,received_quantity,sold_quantity,adjusted_quantity,ending_quantity,average_cost,days_of_supply,is_stockout
1,276,1,560,57,0,44,0,13,231.42,18,False
2,277,1,560,74,22,43,0,53,246.77,10,False
3,278,1,560,85,0,50,0,35,273.8,1,False
4,279,1,560,69,0,61,0,8,249.33,1,False
5,280,1,560,31,0,11,0,20,289.92,10,False
6,281,1,560,19,0,2,0,17,265.57,11,False
7,282,1,560,76,0,9,-4,63,292.7,7,False
8,283,1,560,46,0,44,0,2,252.81,17,False
9,284,1,560,90,0,12,0,78,308.27,21,False
10,285,1,560,55,0,45,0,10,230.95,14,False
11,286,1,560,70,0,46,0,24,234.98,25,False
12,287,1,560,9,0,0,0,9,229.97,12,False
13,288,1,560,79,22,21,0,80,289.46,18,False
14,289,1,560,30,0,11,0,19,304.72,24,False
15,290,1,560,70,0,37,0,33,293.03,24,False
16,291,1,560,95,0,86,0,9,312.89,13,False
17,292,1,560,10,0,4,0,6,266.92,30,False
18,293,1,560,68,0,55,0,13,264.34,3,False
19,294,1,560,41,0,33,0,8,257.66,1,False
20,295,1,560,50,0,18,-4,28,274.87,13,False
21,296,1,560,46,0,18,0,28,247.33,11,False
22,297,1,560,55,0,25,0,30,227.3,7,False
23,298,1,560,75,0,27,0,48,261.3,26,False
24,299,1,560,38,0,26,0,12,281.86,10,False
25,300,1,560,94,6,14,0,86,288.26,1,False
26,301,1,560,20,36,2,-2,52,245.1,11,False
27,302,1,560,96,7,76,0,27,276.43,8,False
28,303,1,560,23,0,13,0,10,294.01,19,False
29,304,1,560,30,9,16,0,23,273.28,20,False
30,305,1,560,60,24,40,0,44,296.06,29,False
31,306,1,560,77,10,18,-4,65,276.17,23,False
32,307,1,560,36,13,19,0,30,224.88,2,False
33,308,1,560,36,31,30,0,37,224.88,3,False
34,309,1,560,79,0,39,5,45,296.33,21,False
35,310,1,560,66,0,24,0,42,257.84,23,False
36,311,1,560,55,0,41,0,14,307.18,26,False
37,312,1,560,57,18,2,0,73,238.61,19,False
38,313,1,560,64,5,31,0,38,244.89,28,False
39,314,1,560,98,18,58,0,58,290.4,6,False
40,315,1,560,44,0,19,0,25,226.09,6,False
41,316,1,560,80,28,43,0,65,246.04,11,False
42,317,1,560,70,0,58,0,12,288.41,23,False
43,318,1,560,16,0,4,0,12,291.43,13,False
44,319,1,560,85,36,27,0,94,293.68,13,False
45,320,1,560,16,0,16,0,0,272.71,0,True
46,321,1,560,48,0,16,-2,30,303.42,30,False
47,322,1,560,13,0,6,0,7,274.89,7,False
48,323,1,560,46,0,20,5,31,298.02,1,False
49,324,1,560,16,0,11,0,5,278.87,21,False
50,325,1,560,62,0,30,0,32,279.55,20,False
51,326,1,560,76,0,23,0,53,256.89,11,False
52,327,1,560,24,0,3,0,21,262.74,1,False
53,328,1,560,60,0,45,0,15,242.93,22,False
54,329,1,560,14,34,0,3,51,299.48,12,False
55,330,1,560,6,0,6,0,0,290.9,0,True
56,331,1,560,30,0,29,0,1,281.32,26,False
57,332,1,560,65,41,8,0,98,271.26,10,False
58,333,1,560,13,3,8,0,8,224.49,4,False
59,334,1,560,28,0,15,1,14,232.07,16,False
60,335,1,560,51,0,35,-1,15,280.01,23,False
61,336,1,560,32,0,23,0,9,300.43,12,False
62,337,1,560,30,0,25,0,5,306.83,26,False
63,338,1,560,91,0,18,0,73,230.55,12,False
64,339,1,560,26,0,7,0,19,239.9,8,False
65,340,1,560,75,0,54,0,21,251.85,17,False
66,341,1,560,15,35,5,0,45,281.07,30,False
67,342,1,560,40,0,30,0,10,230.8,22,False
68,343,1,560,15,0,3,0,12,305.77,25,False
69,344,1,560,79,0,47,0,32,231.54,25,False
70,345,1,560,21,0,15,0,6,278.54,28,False
71,346,1,560,45,0,28,0,17,248.54,4,False
72,347,1,560,68,0,0,0,68,249.27,23,False
73,348,1,560,36,0,25,0,11,290.0,23,False
74,349,1,560,46,22,46,0,22,286.35,18,False
75,350,1,560,95,9,69,-5,30,272.95,16,False
76,351,1,560,10,33,9,0,34,264.26,19,False
77,352,1,560,41,0,15,0,26,300.15,23,False
78,353,1,560,62,0,14,0,48,289.71,5,False
79,354,1,560,39,17,35,0,21,280.0,5,False
80,355,1,560,44,14,42,0,16,261.05,25,False
81,356,1,560,83,0,70,0,13,227.25,12,False
82,357,1,560,37,0,6,0,31,276.63,24,False
83,358,1,560,8,0,4,0,4,229.29,17,False
84,359,1,560,92,17,74,0,35,312.24,16,False
85,360,1,560,30,0,4,0,26,261.79,15,False
86,361,1,560,35,0,8,0,27,254.16,19,False
87,362,1,560,75,0,75,-2,0,284.6,0,True
88,363,1,560,26,0,0,0,26,312.57,7,False
89,364,1,560,89,0,0,0,89,275.22,4,False
90,365,1,560,58,0,21,-3,34,234.75,11,False
91,276,1,597,39,0,22,0,17,17.24,20,False
92,277,1,597,87,0,54,0,33,15.3,21,False
93,278,1,597,36,0,27,0,9,13.12,30,False
94,279,1,597,85,0,73,0,12,16.8,11,False
95,280,1,597,23,0,17,0,6,17.55,3,False
96,281,1,597,78,0,9,0,69,14.23,2,False
97,282,1,597,18,0,11,0,7,18.11,16,False
98,283,1,597,17,0,15,0,2,15.21,29,False
99,284,1,597,48,0,40,0,8,15.05,11,False
100,285,1,597,25,0,18,0,7,15.74,24,False
101,286,1,597,49,0,10,0,39,14.54,29,False
102,287,1,597,82,0,3,0,79,15.6,3,False
103,288,1,597,25,50,2,0,73,16.67,2,False
104,289,1,597,27,0,24,0,3,18.26,2,False
105,290,1,597,85,0,57,0,28,16.5,30,False
106,291,1,597,45,10,20,0,35,15.44,4,False
107,292,1,597,87,17,20,0,84,16.82,28,False
108,293,1,597,21,0,11,0,10,15.73,29,False
109,294,1,597,73,46,36,0,83,13.78,3,False
110,295,1,597,90,0,51,0,39,14.59,27,False
111,296,1,597,29,0,29,0,0,16.65,0,True
112,297,1,597,78,0,11,0,67,15.24,11,False
113,298,1,597,41,0,31,4,14,16.56,28,False
114,299,1,597,64,0,2,0,62,15.31,12,False
115,300,1,597,73,10,67,0,16,17.38,11,False
116,301,1,597,49,14,44,0,19,17.5,6,False
117,302,1,597,28,40,21,0,47,13.49,26,False
118,303,1,597,67,43,4,-4,102,17.38,17,False
119,304,1,597,44,0,22,0,22,15.1,7,False
120,305,1,597,40,0,7,0,33,15.63,25,False
121,306,1,597,71,0,52,0,19,18.26,23,False
122,307,1,597,75,0,50,0,25,16.14,9,False
