po_id,date_id,store_id,supplier_id,product_id,employee_id,po_number,po_status,quantity_ordered,unit_cost,total_cost,expected_delivery_date,actual_delivery_date,is_emergency_order,lead_time_days,shipping_cost
1,365,26,41,868,26,PO-OMUPYX-70366272,Canceled,184,33.18,6105.12,2025-01-02,,False,3,61.5
2,216,15,92,430,15,PO-LWjndm-92738741,Partially Delivered,51,172.95,8820.45,2024-08-11,2024-08-13,False,8,276.11
3,185,42,17,94,435,PO-TjVFzk-48191833,Canceled,173,194.45,33639.85,2024-07-16,,False,13,60.96
4,363,4,74,583,133,PO-ckoetS-11711444,In Transit,143,218.47,31241.21,2025-01-19,,False,22,389.06
5,41,24,98,481,170,PO-CEYnph-65446177,In Transit,80,73.35,5868.0,2024-03-06,,False,25,72.05
6,296,42,59,782,390,PO-BhxiUr-52630151,Delivered,131,158.0,20698.0,2024-11-04,2024-11-09,False,13,79.89
7,232,4,98,650,4,PO-hDWxgE-96069722,Canceled,112,267.45,29954.4,2024-09-13,,False,25,477.92
8,156,7,71,116,226,PO-McPeHo-36827195,Delivered,163,56.24,9167.12,2024-06-05,2024-06-08,False,1,307.19
9,84,29,12,397,29,PO-fbkevs-76127842,Delivered,14,42.51,595.14,2024-03-30,2024-04-01,False,6,122.64
10,248,17,56,314,17,PO-hOfJpv-79511624,Delivered,59,151.39,8932.01,2024-09-20,2024-09-22,False,16,395.12
11,311,41,88,802,41,PO-giKuoR-51294218,Delivered,128,144.68,18519.04,2024-11-14,2024-11-19,False,8,493.68
12,189,32,57,520,343,PO-gWbASy-31970949,Delivered,167,143.73,24002.91,2024-07-11,2024-07-09,False,4,454.43
13,360,28,61,815,209,PO-vclzYq-87181582,Partially Delivered,13,21.12,274.56,2025-01-06,2025-01-09,False,12,129.06
14,199,31,67,683,31,PO-RageGy-89035649,Delivered,169,181.28,30636.32,2024-08-13,2024-08-17,False,27,302.66
15,63,4,10,307,366,PO-hpvwPP-51430871,Canceled,28,41.25,1155.0,2024-03-29,,False,26,247.43
16,253,27,75,671,27,PO-ELvIvV-67921839,Ordered,40,72.36,2894.4,2024-10-04,,False,25,478.24
17,227,26,72,462,26,PO-tHNQPa-74170183,Partially Delivered,148,296.54,43887.92,2024-09-02,2024-09-05,False,19,252.76
18,305,40,84,505,40,PO-cLpmLc-76328322,In Transit,177,228.27,40403.79,2024-11-14,,True,14,732.74
19,108,26,48,888,389,PO-WotUSa-90145003,Canceled,137,194.32,26621.84,2024-05-10,,False,23,275.56
